filename,google_asr_text,stt_confidence
GOV_AK_AOD_FLIP_FLOPPED,What you don't know about Mike Dunleavy can hurt you. Dunleavy said he'll restore your full PSE. The truth is in the Senate. He voted to reduce the PFT before he flip-flopped. He supported sb91 before he was done. He supports belcher's which would take million from public schools and get to private schools in violation of our constitution. Do you flip flops? And he's wrong on the issues then leave. He is just plain wrong for Alaska.,0.9609101414680481
GOV_AK_AOD_HURT_YOU,"What you don't know about. Mike Dunleavy can hurt. You. Dunleavy said he'll restore your full PFD, but he voted to reduce the dividend he supported at b91 before he was against it. He held Breeze La hostage, for political gain further, traumatizing in Alaska, family that's been through too much. Then ladies the ports of downstairs which would take Millions from your public school. He flip-flops, and he's wrong on the issues then leave. He is just plain wrong for Alaska. This communication Anchorage, Alaska",0.9318503737449646
GOV_AK_BEGICH_BIG_MISTAKE,"Mike Dunleavy, big mistake the wrong direction. Crimes up with Mike Dunleavy, cut funds for law enforcement or police prosecutor. The only choice this message top contributors D Minor Kirkland, Washington Planned Parenthood votes Northwest Hawaii. Anchorage water Featherlite",0.9381834268569946
GOV_AK_BEGICH_BIG_SPENDING,"Mark begich, the one candidate you can trust to protect your PFD. Only Mark begich has a plan to submit the PFT in the state constitution. So no politician can touch a big-spending. Mike Dunleavy don't be confused by his ball. Sack contributors of Dean wiser Kirkland, Washington Planned, Parenthood V, Northwest, y Anchorage, United weekend, Washington DC,",0.9465355277061462
GOV_AK_BEGICH_HIS_EXAMPLE,"I was ten when all of us got lost my dad and I've always tried to live up to his example. I know we can overcome our challenges but we can't wait. Four more years for leadership. Much less go backwards guaranteeing school funding and the PFT in the state constitution is the right place to begin. Along with a commitment to jobs in public. Safety, ask yourself who will be the best Governor? Because the choice is in your hands, a 4-mile Askins for baggage 2018.",0.944785475730896
GOV_AK_BEGICH_JACOB,"Jacob is 6 years older than I was when I lost my dad. I used to think about what it would be like if I wasn't here for him and I think about what it will be like is Future's not in Alaska baggage and this is very personal to me. As Governor I will wake up every day determined to bring our state together to overcome our challenges, a stronger economy can help our kids stay here.",0.9521886110305786
GOV_AK_DD_MOST_DANGEROUS_STATE,"Alaska, rated the most dangerous state in the country, crime rates are up, drugs funding for police, and prosecutors into reduced penalties for putting criminals on the street, and communities at risk and a risky record on Prime, you just can't trust. This medication is paid for, but if you don't like it,",0.9432660937309265
GOV_AK_DUNLEAVY_BRIGHTER_THAN_EVER,"I'm a surprise you to hear that I could actually be brighter than ever. We just need a governor with a vision to get us there like Mike Dunleavy and he'll get out of the ground and he knows the best way to protect the miscommunication and paid for by dunlevy. For Alaska. Top contributors are Frances dunlavy, Houston Texas, Bob Penny cell.",0.9393423199653625
GOV_AK_DUNLEAVY_CATCH_AND_RELEASE,"This summer, Intruder, broke into my house and then when the police came. But unfortunately, Carol story is far too common, that's why Public Safety employees. Trust Mike Dunleavy with Public Safety. First, this communication was paid for by",0.9028335213661194
GOV_AK_DUNLEAVY_WORK_WITH_ALL_ALASKANS,Effective with people of different political stripes and we actually agree on right to bear arms.,0.8862364292144775
GOV_AK_FFAKF_BIG_IDEAS,Montgomery Gentry.,0.5548260807991028
GOV_AK_FFAKF_BIG_PLANS_60,"Alaska's economy is last of the nation unemployment is nearly twice. The national average politicians. Want to raise our taxes and they cut the Permanent Fund dividend to pay for their big-spending. Alaska is headed in the wrong direction. It's time for a change. Mike Dunleavy is a leader. With big ideas to take a lascar in a New Direction. Mike dunleavy's plan, no income tax, get her a kind of driving again. Spending a protective PFD fight crime with tougher sentences for drug dealers. Name Channel time for violent offenders, Mike Dunleavy big ideas for a better Alaska. This communication",0.9637503027915955
GOV_AK_FFAKF_CAREER_POLITICIAN,"We are communication. Mark packages, record on your taxes. More crime. High property taxes a job. Killing reason. Aggravated assault jumped 55% as a fail, Senator begich devoted Obama's a liberal line, 97% Mark begich higher taxes.",0.9244983792304993
GOV_AK_FFAKF_PROUD,"Husband and father Mike Dunleavy better. Stop wasteful spending. Create good-paying jobs in Alaska, State Troopers and police for his leadership to eliminate sb91 and fight crime. Is a new direction for a better Alaska.",0.9426875710487366
GOV_AK_FFAKF_SAFER_BETTER,"The murder rate in. Alaska has increased almost 20% that move to cut the Permanent Fund dividend is deeply unpopular and field worker, jobs, cut. The PFT. Mike Dunleavy will repeal sb91 for a safer, better. Alaska Communications",0.9368143677711487
GOV_AK_FFAKF_SKYROCKETED,"Skyrocketed putting families at risk for Anchorage mayor violent robbery and aggravated. Assault both jumped 55% Bill Walker's sp91 reduced sentences for violent felons and drug dealers so they can come back at the house. Communities Bill Walker, Mark begich Philly to keep us safe.",0.9372480511665344
GOV_AK_FFAKF_THE_WRONG_DIRECTION,"Mark, begich endorsed by liberal politician. Hillary Clinton tax on oil devoted was Obama 97% supported Obama's wasteful spending plan. A Vegas, race property taxes skyrocketed, Mark, begich liberal politician the wrong direction for Alaska.",0.924252986907959
GOV_AK_FFAKF_TIME_FOR_A_CHANGE,"Alaska's economy is last of the nation unemployment, is nearly twice the national average. It's time for a change. Mike Dunleavy is a leader. With big ideas, to take a laska in a New Direction. No income tax. Get our economy thriving again cuz spend a protective PSD Mike Dunleavy big ideas for a better Alaska. This weekend with me for my family were like this week.",0.9367076754570007
GOV_AK_FFAKF_TIMES_ARE_TOUGH,"Times are tough in Alaska for the Republican Governors, Association and ABC Alaska.",0.6815970540046692
GOV_AK_HLATCU_THIRD_TIME,"Schematic for a run for governor in 2016 and 2009. Engineer. I used to work with you, please pay attention this time. This time is our time. I want to I want to put together for my alarm music",0.8678930401802063
GOV_AK_TREADWELL_ALYCE_AND_CARLA_HANLEY,"Grandma, because he has the control and push the repeal of sp91 and to the 21st century.",0.7863289713859558
GOV_AK_UNITEAK_BREANNA,"Bri Moore was killed by her abusive boyfriend. Her parents bound to do all, they could so no family ever had to experience what they've been through, they fought for life-saving legislation to educate, teens about abuse, then Mike Dunleavy did all he could to stop it. It was Shameless and politically-motivated. He stood in the way of protecting women from violence. If Mike Dunleavy won't stand up for our daughters, Easter won't stand up for Alaska Communications.",0.9543935060501099
GOV_AK_UNITEAK_QUITTER,The governor will you choose a leader for a quitter? Communication was paid for by,0.7780784368515015
GOV_AL_BATTLE_CAN_DO_BETTER,"I'm Tommy battle. My dad used to tell me don't be satisfied with its you know you can do better to me that sums up The Pride. Alabama set records for job growth and put more people to work. I'm running for governor because I want all of Alabama to share in that success. Alabama is a great state. As Governor, we will make it better.",0.964569628238678
GOV_AL_BATTLE_DIFFERENT,"I'm Tommy battle, you know, kib and I probably accept Mountain Oysters. Alabama needs a different approach, a fresh set of eyes as Governor. I restore trust improve education and jobs to talk about Alabama, Alabama is a great steak together. We can",0.9192054271697998
GOV_AL_BATTLE_FREE_2_TEACH,"After she retired from teaching on Tommy battle as governor of Alabama, good paying jobs and clean up that mess in Montgomery.",0.8961629271507263
GOV_AL_BATTLE_LEAD_US,"There's a battle brewing in Alabama, a battle to make our great state, better a battle for more jobs and opportunity a battle to protect life and our Second Amendment. There's also another battle. A battle who created 24,000 jobs, how battle, who improved education of battle, who stands for our conservative values as the battle is to make Alabama, better. Maybe we need a battle to Lena's Tommy battle for governor.",0.9559258222579956
