ad_id,issue_field,issue_class
CR00027762187565006849,google_asr_text,ISSUE90
CR00027845681729241089,ad_text,"ISSUE40,ISSUE18,ISSUE95"
CR00027879835309178881,google_asr_text,"ISSUE40,ISSUE45"
CR00028125851035893761,advertiser_name,ISSUE10
CR00028531845704450049,google_asr_text|aws_ocr_video_text,"ISSUE12,ISSUE95|ISSUE95"
CR00029277314588082177,advertiser_name|ad_text,ISSUE83|ISSUE83
CR00029577206384558081,google_asr_text|aws_ocr_video_text,ISSUE212|ISSUE212
CR00030093152215891969,aws_ocr_img_text,ISSUE10
CR00030282268215869441,ad_text,ISSUE215
CR00030730868960002049,advertiser_name|ad_title,ISSUE212|ISSUE212
CR00030821028913479681,aws_ocr_video_text|google_asr_text,"ISSUE30,ISSUE58|ISSUE30,ISSUE212,ISSUE200,ISSUE58"
CR00030944998849511425,advertiser_name,ISSUE212
CR00031346595471556609,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE200|ISSUE30"
CR00031771831593598977,google_asr_text|aws_ocr_video_text,"ISSUE30|ISSUE30,ISSUE58"
CR00031857868378472449,ad_title|ad_text,"ISSUE212|ISSUE30,ISSUE200"
CR00032139343355183105,google_asr_text|aws_ocr_video_text,"ISSUE215,ISSUE16,ISSUE65|ISSUE16"
CR00032506580238860289,aws_ocr_img_text,ISSUE83
CR00032553309483040769,google_asr_text|aws_ocr_video_text,"ISSUE83|ISSUE215,ISSUE83"
CR00033519230448041985,ad_title,ISSUE18
CR00033662166959652865,aws_ocr_video_text|google_asr_text,"ISSUE30,ISSUE58|ISSUE30,ISSUE212,ISSUE200,ISSUE58"
CR00033700649866625025,google_asr_text,ISSUE90
CR00033912855610785793,google_asr_text|aws_ocr_video_text,"ISSUE30|ISSUE30,ISSUE53"
CR00034369152936312833,google_asr_text|aws_ocr_video_text,"ISSUE215,ISSUE83,ISSUE54,ISSUE90|ISSUE215,ISSUE83,ISSUE54"
CR00035153929360637953,google_asr_text|aws_ocr_video_text,"ISSUE62,ISSUE60|ISSUE60"
CR00035227321761792001,advertiser_name|google_asr_text|aws_ocr_video_text,"ISSUE62,ISSUE60|ISSUE30|ISSUE30"
CR00035258657843183617,advertiser_name|ad_text,ISSUE18|ISSUE18
CR00036204237843070977,google_asr_text|aws_ocr_video_text,"ISSUE10,ISSUE12,ISSUE58|ISSUE12"
CR00036474717703503873,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE200,ISSUE58|ISSUE30,ISSUE200,ISSUE53,ISSUE58"
CR00036530517918613505,google_asr_text|advertiser_name|aws_ocr_video_text,ISSUE30|ISSUE30|ISSUE30
CR00036648440540692481,advertiser_name|aws_ocr_video_text|google_asr_text,"ISSUE18,ISSUE62|ISSUE30,ISSUE83|ISSUE83"
CR00036891157732524033,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE45|ISSUE30"
CR00037361748709212161,ad_text,"ISSUE10,ISSUE62"
CR00038819769847119873,ad_text|advertiser_name,ISSUE83|ISSUE22
CR00039225695796199425,aws_ocr_video_text|google_asr_text,ISSUE200|ISSUE200
CR00039699585307770881,google_asr_text,ISSUE32
CR00040252089900728321,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE58|ISSUE30"
CR00040937360522739713,advertiser_name|aws_ocr_img_text,ISSUE18|ISSUE32
CR00041139670662250497,advertiser_name,ISSUE18
CR00041348577871527937,ad_title,ISSUE16
CR00041521476074995713,advertiser_name|ad_text,ISSUE16|ISSUE10
CR00041526698755227649,google_asr_text,"ISSUE209,ISSUE53"
CR00042066284086558721,ad_text|aws_ocr_img_text,ISSUE212|ISSUE212
CR00042150396726083585,advertiser_name,ISSUE212
CR00042222964493516801,aws_ocr_video_text|google_asr_text,"ISSUE30|ISSUE30,ISSUE58"
CR00042661394755092481,advertiser_name,ISSUE16
CR00042713346679504897,advertiser_name|ad_text,ISSUE16|ISSUE18
CR00042904661702737921,aws_ocr_video_text|google_asr_text,"ISSUE30,ISSUE200|ISSUE30,ISSUE200"
CR00043070687958532097,aws_ocr_video_text|google_asr_text,ISSUE215|ISSUE16
CR00044084162801434625,ad_text|ad_title|advertiser_name,"ISSUE16|ISSUE12,ISSUE16,ISSUE32|ISSUE16"
CR00044099074927886337,aws_ocr_img_text,ISSUE95
CR00044825233638555649,aws_ocr_img_text,ISSUE16
CR00046034971307016193,aws_ocr_video_text|google_asr_text,"ISSUE212|ISSUE212,ISSUE65"
CR00046515457888354305,ad_text,ISSUE215
CR00047252955312685057,aws_ocr_video_text|google_asr_text,ISSUE30|ISSUE30
CR00047879951818424321,aws_ocr_img_text,"ISSUE12,ISSUE90"
CR00047974234940506113,advertiser_name,ISSUE18
CR00048162526306762753,google_asr_text|aws_ocr_video_text,"ISSUE209,ISSUE53|ISSUE53,ISSUE22"
CR00048238117731172353,aws_ocr_video_text|google_asr_text,"ISSUE10,ISSUE212,ISSUE12|ISSUE10,ISSUE212"
CR00048724376748556289,google_asr_text|aws_ocr_video_text,"ISSUE209,ISSUE53|ISSUE53"
CR00049974521469337601,ad_text|ad_title|advertiser_name,ISSUE16|ISSUE32|ISSUE16
CR00050234830847213569,aws_ocr_video_text|google_asr_text,"ISSUE30,ISSUE45,ISSUE58|ISSUE30,ISSUE58"
CR00050805752259936257,aws_ocr_video_text|google_asr_text,"ISSUE215,ISSUE12|ISSUE215,ISSUE12"
CR00051302181759877121,aws_ocr_video_text|google_asr_text,ISSUE30|ISSUE30
CR00052048200399323137,google_asr_text|aws_ocr_video_text,"ISSUE18,ISSUE65|ISSUE62"
CR00052347267562078209,advertiser_name,"ISSUE212,ISSUE18"
CR00052787072213188609,google_asr_text,"ISSUE16,ISSUE62,ISSUE22,ISSUE32"
CR00053347823143354369,advertiser_name|aws_ocr_video_text|google_asr_text,"ISSUE16|ISSUE30,ISSUE58|ISSUE30,ISSUE58"
CR00053532541096820737,google_asr_text|aws_ocr_video_text,"ISSUE10,ISSUE22|ISSUE54"
CR00054076868072046593,ad_title|advertiser_name,ISSUE62|ISSUE90
CR00054313194352541697,aws_ocr_video_text|advertiser_name|google_asr_text,"ISSUE215,ISSUE83|ISSUE16|ISSUE215,ISSUE10,ISSUE12,ISSUE22"
CR00054657341492035585,aws_ocr_video_text|google_asr_text,ISSUE91|ISSUE91
CR00054880542352474113,google_asr_text|aws_ocr_video_text,ISSUE30|ISSUE30
CR00054892362102472705,google_asr_text,ISSUE32
CR00054993792050135041,aws_ocr_video_text|google_asr_text|advertiser_name,"ISSUE10,ISSUE16|ISSUE10,ISSUE16,ISSUE54,ISSUE55|ISSUE212"
CR00055160642939650049,ad_text|ad_title,"ISSUE12,ISSUE62,ISSUE60|ISSUE62,ISSUE60"
CR00055606220026806273,advertiser_name,ISSUE65
CR00055615016119828481,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE200,ISSUE58|ISSUE30,ISSUE45"
CR00055904187677933569,ad_text,ISSUE90
CR00056046024677916673,advertiser_name|google_asr_text,ISSUE30|ISSUE53
CR00056858288892936193,advertiser_name|aws_ocr_img_text,ISSUE18|ISSUE91
CR00057070769515003905,aws_ocr_video_text|google_asr_text,ISSUE30|ISSUE30
CR00057262909171957761,advertiser_name|aws_ocr_video_text,ISSUE212|ISSUE53
CR00057713983817252865,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE200,ISSUE58|ISSUE30,ISSUE200,ISSUE58"
CR00058117504584646657,google_asr_text,"ISSUE16,ISSUE90"
CR00058358022753222657,aws_ocr_video_text|google_asr_text,"ISSUE215|ISSUE215,ISSUE16"
CR00058494362195066881,aws_ocr_video_text|google_asr_text,"ISSUE16,ISSUE83,ISSUE90|ISSUE215,ISSUE16,ISSUE83,ISSUE90"
CR00058626303590400001,advertiser_name|aws_ocr_img_text,ISSUE18|ISSUE12
CR00058656265282256897,aws_ocr_video_text|google_asr_text,ISSUE10|ISSUE10
CR00059471003398438913,google_asr_text,"ISSUE212,ISSUE83"
CR00059703824985620481,aws_ocr_video_text|google_asr_text,"ISSUE54|ISSUE30,ISSUE209,ISSUE54,ISSUE53"
CR00059797008596074497,advertiser_name,ISSUE18
CR00059864628561182721,aws_ocr_video_text|google_asr_text,"ISSUE10,ISSUE91|ISSUE91,ISSUE22"
CR00060033678473953281,advertiser_name,ISSUE18
CR00060066938700693505,aws_ocr_video_text|google_asr_text,"ISSUE62,ISSUE53|ISSUE40,ISSUE16,ISSUE62,ISSUE91"
CR00060095251125108737,advertiser_name|google_asr_text,ISSUE16|ISSUE90
CR00060205477165793281,ad_text,"ISSUE40,ISSUE45"
CR00060389920241352705,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE209,ISSUE53|ISSUE30,ISSUE53"
CR00060674625033469953,ad_title|ad_text,ISSUE32|ISSUE30
CR00062188721264394241,google_asr_text|aws_ocr_video_text,"ISSUE10,ISSUE212,ISSUE22|ISSUE212,ISSUE22"
CR00062259090008571905,ad_title|ad_text,"ISSUE215,ISSUE12,ISSUE60|ISSUE215,ISSUE12"
CR00062933365514305537,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE200,ISSUE58|ISSUE30,ISSUE200"
CR00064106269543235585,aws_ocr_video_text|google_asr_text,"ISSUE215|ISSUE215,ISSUE212"
CR00064113141490909185,google_asr_text|aws_ocr_video_text,"ISSUE215,ISSUE16,ISSUE65|ISSUE16"
CR00064181036333924353,aws_ocr_video_text|google_asr_text,"ISSUE30,ISSUE55,ISSUE56|ISSUE30,ISSUE55,ISSUE56"
CR00064320949188558849,aws_ocr_video_text|google_asr_text,ISSUE30|ISSUE30
CR00064612044892012545,google_asr_text|aws_ocr_video_text,"ISSUE209,ISSUE53|ISSUE212"
CR00064809956985012225,aws_ocr_img_text,ISSUE18
CR00065090607328002049,google_asr_text|aws_ocr_video_text|advertiser_name,"ISSUE30,ISSUE62|ISSUE30|ISSUE212"
CR00065104900979163137,aws_ocr_video_text|google_asr_text,"ISSUE212,ISSUE95|ISSUE95,ISSUE22"
CR00065308035752394753,ad_text|advertiser_name,"ISSUE16,ISSUE32|ISSUE16"
CR00065549103676784641,ad_title|ad_text|advertiser_name,"ISSUE62,ISSUE60|ISSUE62|ISSUE60"
CR00065742342845366273,aws_ocr_video_text|advertiser_name|google_asr_text,"ISSUE10,ISSUE83|ISSUE18|ISSUE10"
CR00066317112548786177,advertiser_name|ad_text,ISSUE30|ISSUE32
CR00066417717862727681,google_asr_text|aws_ocr_video_text,"ISSUE215,ISSUE10,ISSUE12|ISSUE215,ISSUE10,ISSUE12"
CR00066625319401947137,ad_title|ad_text|advertiser_name,ISSUE53|ISSUE53|ISSUE53
CR00066828935211515905,google_asr_text,ISSUE10
CR00067571930193985537,aws_ocr_video_text|google_asr_text,"ISSUE16,ISSUE83,ISSUE90|ISSUE215,ISSUE16,ISSUE83,ISSUE90"
CR00068050217752068097,google_asr_text|advertiser_name,ISSUE91|ISSUE65
CR00068090899682295809,advertiser_name|google_asr_text,ISSUE18|ISSUE95
CR00068119486984617985,ad_text,ISSUE40
CR00068686697545596929,advertiser_name,ISSUE16
CR00069750337606516737,google_asr_text|aws_ocr_video_text,"ISSUE40,ISSUE212|ISSUE212"
CR00070424338234343425,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE200,ISSUE58|ISSUE30,ISSUE200,ISSUE58"
CR00070688221025009665,advertiser_name,ISSUE18
CR00070827859001737217,aws_ocr_video_text|google_asr_text,"ISSUE10,ISSUE12|ISSUE10,ISSUE12"
CR00071318241187725313,aws_ocr_video_text|google_asr_text,"ISSUE30,ISSUE58|ISSUE30,ISSUE58"
CR00071668985396985857,aws_ocr_video_text|google_asr_text,"ISSUE30|ISSUE30,ISSUE58"
CR00072018355216711681,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE55,ISSUE56|ISSUE30"
CR00072238257542266881,google_asr_text|aws_ocr_video_text,"ISSUE16,ISSUE18,ISSUE62,ISSUE22,ISSUE32|ISSUE62"
CR00072337488466673665,advertiser_name,ISSUE18
CR00072480150100377601,advertiser_name,ISSUE62
CR00072505507587293185,advertiser_name,ISSUE16
CR00072551893234089985,aws_ocr_video_text|google_asr_text,"ISSUE10|ISSUE10,ISSUE90"
CR00072624461001523201,ad_text,"ISSUE209,ISSUE53"
CR00072906760611954689,google_asr_text|aws_ocr_video_text,"ISSUE40,ISSUE212,ISSUE16,ISSUE22|ISSUE40,ISSUE212,ISSUE16,ISSUE22"
CR00073073061745655809,aws_ocr_video_text|google_asr_text,ISSUE30|ISSUE30
CR00073464487885144065,aws_ocr_img_text,ISSUE10
CR00073586258797920257,ad_text,ISSUE12
CR00073653947482505217,aws_ocr_img_text,ISSUE16
CR00073794341373476865,advertiser_name|aws_ocr_img_text,"ISSUE62|ISSUE30,ISSUE32"
CR00074863066675675137,advertiser_name|ad_title,ISSUE212|ISSUE212
CR00075757175787487233,google_asr_text,ISSUE30
CR00075758069140684801,google_asr_text|aws_ocr_video_text,"ISSUE215,ISSUE212,ISSUE12,ISSUE16,ISSUE22|ISSUE215,ISSUE212"
CR00075908702233690113,google_asr_text|aws_ocr_video_text,ISSUE30|ISSUE30
CR00076754226675449857,aws_ocr_video_text|advertiser_name|google_asr_text,"ISSUE212,ISSUE22|ISSUE90|ISSUE22"
CR00077092876256804865,google_asr_text|aws_ocr_video_text,"ISSUE40,ISSUE212,ISSUE45|ISSUE40,ISSUE212,ISSUE12,ISSUE45"
CR00077208050099814401,aws_ocr_img_text,ISSUE30
CR00077233613745160193,google_asr_text|aws_ocr_video_text,"ISSUE40,ISSUE200,ISSUE45,ISSUE58|ISSUE30,ISSUE40,ISSUE200"
CR00077273883358527489,advertiser_name|ad_title,ISSUE12|ISSUE12
CR00078018115291578369,google_asr_text,ISSUE60
CR00078299590268289025,ad_text|aws_ocr_img_text,ISSUE212|ISSUE212
CR00078355115605491713,google_asr_text,"ISSUE12,ISSUE62"
CR00078427683372924929,aws_ocr_video_text|google_asr_text,ISSUE30|ISSUE30
CR00078836701698457601,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE200,ISSUE58|ISSUE30,ISSUE200,ISSUE58"
CR00078870786558918657,google_asr_text|aws_ocr_video_text,"ISSUE215,ISSUE12,ISSUE95|ISSUE215,ISSUE95"
CR00079106082047262721,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE200,ISSUE58|ISSUE30,ISSUE200,ISSUE53"
CR00080052761558777857,advertiser_name|ad_title,ISSUE62|ISSUE62
CR00080159139308765185,aws_ocr_video_text|google_asr_text,"ISSUE40,ISSUE212|ISSUE40,ISSUE212"
CR00080549740814532609,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE40,ISSUE212|ISSUE30,ISSUE40"
CR00080647322471497729,advertiser_name|aws_ocr_video_text|google_asr_text,"ISSUE65|ISSUE60|ISSUE95,ISSUE62"
CR00080770467773808641,google_asr_text|aws_ocr_video_text,ISSUE30|ISSUE30
CR00081556893465575425,advertiser_name|aws_ocr_img_text,ISSUE18|ISSUE91
CR00081793838221361153,aws_ocr_video_text|google_asr_text|advertiser_name,"ISSUE215|ISSUE54,ISSUE65|ISSUE18"
CR00082120668052717569,google_asr_text|aws_ocr_video_text,"ISSUE215,ISSUE12,ISSUE83,ISSUE32|ISSUE215,ISSUE12,ISSUE83,ISSUE32"
CR00082745190657294337,google_asr_text|advertiser_name|aws_ocr_video_text,"ISSUE215,ISSUE30,ISSUE32|ISSUE62|ISSUE32"
CR00082972858283720705,google_asr_text,ISSUE16
CR00083232617905782785,ad_title|ad_text,"ISSUE53|ISSUE16,ISSUE209,ISSUE53"
CR00084551413383823361,aws_ocr_video_text|google_asr_text,"ISSUE10,ISSUE83|ISSUE10"
CR00084592370191958017,advertiser_name|aws_ocr_img_text,ISSUE18|ISSUE10
CR00085432671953485825,advertiser_name|aws_ocr_video_text|google_asr_text,ISSUE18|ISSUE83|ISSUE83
CR00085578151085735937,aws_ocr_img_text,"ISSUE209,ISSUE53"
CR00085801008348790785,google_asr_text,ISSUE30
CR00086813383680065537,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE40,ISSUE200,ISSUE95|ISSUE30"
CR00087833730470641665,aws_ocr_video_text|google_asr_text|advertiser_name,"ISSUE30|ISSUE30,ISSUE58|ISSUE22"
CR00088503607929864193,google_asr_text|aws_ocr_video_text,"ISSUE95,ISSUE62|ISSUE95,ISSUE62"
CR00088875242860052481,aws_ocr_video_text|google_asr_text,"ISSUE53|ISSUE16,ISSUE54"
CR00089079752022818817,ad_text,ISSUE30
CR00089255673883262977,aws_ocr_video_text|google_asr_text,ISSUE30|ISSUE30
CR00089565736162295809,google_asr_text,ISSUE30
CR00091589662191124481,advertiser_name|google_asr_text|aws_ocr_video_text,"ISSUE12,ISSUE22|ISSUE215,ISSUE95,ISSUE22|ISSUE18"
CR00091665803371347969,google_asr_text|aws_ocr_video_text,ISSUE30|ISSUE30
CR00091768607708545025,aws_ocr_video_text|google_asr_text,"ISSUE62,ISSUE53|ISSUE209,ISSUE62,ISSUE53,ISSUE60"
CR00091835128162025473,ad_text,"ISSUE209,ISSUE53"
CR00092782357429354497,google_asr_text,ISSUE32
CR00093010231214211073,advertiser_name,ISSUE18
CR00093035245103742977,google_asr_text|advertiser_name|aws_ocr_video_text,"ISSUE30,ISSUE16,ISSUE83,ISSUE54,ISSUE53|ISSUE83|ISSUE30"
CR00093093794097922049,ad_text,"ISSUE10,ISSUE62"
CR00093437116603695105,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE40,ISSUE200|ISSUE30,ISSUE200"
CR00093494016330432513,aws_ocr_img_text,"ISSUE62,ISSUE22"
CR00095322779045330945,aws_ocr_img_text,ISSUE18
CR00095560273556930561,aws_ocr_video_text|google_asr_text,"ISSUE83,ISSUE91,ISSUE90|ISSUE91,ISSUE90"
CR00095737020051095553,aws_ocr_video_text|google_asr_text,"ISSUE91|ISSUE10,ISSUE91"
CR00095759010283651073,aws_ocr_video_text,ISSUE53
CR00095767806376673281,google_asr_text,"ISSUE30,ISSUE58"
CR00095771929545277441,advertiser_name,ISSUE18
CR00096406897510318081,aws_ocr_video_text,ISSUE30
CR00096428131828629505,aws_ocr_img_text,"ISSUE10,ISSUE32"
CR00096896729940492289,google_asr_text,"ISSUE30,ISSUE209,ISSUE53"
CR00096937686748626945,google_asr_text|aws_ocr_video_text,"ISSUE10,ISSUE22|ISSUE10"
CR00097011628905594881,ad_text,"ISSUE12,ISSUE83"
CR00097064405463728129,google_asr_text,ISSUE54
CR00097148792981159937,aws_ocr_video_text|google_asr_text,"ISSUE54|ISSUE30,ISSUE209,ISSUE54,ISSUE53"
CR00097614985911336961,advertiser_name,ISSUE16
CR00098411032329846785,aws_ocr_video_text|google_asr_text,ISSUE30|ISSUE30
CR00098773046533292033,ad_title|aws_ocr_video_text|google_asr_text,ISSUE40|ISSUE30|ISSUE30
CR00099052872242561025,google_asr_text|aws_ocr_video_text,"ISSUE215,ISSUE83|ISSUE215,ISSUE83"
CR00099108397579763713,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE45|ISSUE30"
CR00099193059975102465,google_asr_text|aws_ocr_video_text,"ISSUE215,ISSUE16,ISSUE83,ISSUE54|ISSUE54"
CR00099372280370429953,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE200,ISSUE58|ISSUE30,ISSUE200,ISSUE53,ISSUE58"
CR00099457767399489537,advertiser_name|google_asr_text|aws_ocr_video_text,"ISSUE18|ISSUE10,ISSUE83|ISSUE10"
CR00099505321277390849,google_asr_text|aws_ocr_video_text,"ISSUE10,ISSUE83,ISSUE91,ISSUE90|ISSUE10,ISSUE90"
CR00099549301742501889,google_asr_text,"ISSUE30,ISSUE16"
CR00099607575858774017,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE58|ISSUE30"
CR00100602633881911297,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE53,ISSUE58|ISSUE30"
CR00101291752794619905,aws_ocr_video_text,ISSUE30
CR00101471248067854337,ad_text|ad_title,ISSUE45|ISSUE215
CR00101706543556198401,google_asr_text|aws_ocr_video_text,"ISSUE30,ISSUE200,ISSUE58|ISSUE30,ISSUE200,ISSUE45"
CR00102290109352640513,advertiser_name,ISSUE62
CR00102505888509591553,aws_ocr_video_text,ISSUE12
CR00103052345788596225,aws_ocr_img_text,"ISSUE10,ISSUE95"
CR00104018816509411329,ad_title,"ISSUE215,ISSUE10"
CR00104637841555849217,advertiser_name,ISSUE212
CR00105644994206892033,ad_text,ISSUE22
CR00105820916067336193,aws_ocr_video_text|google_asr_text|advertiser_name,ISSUE212|ISSUE62|ISSUE22
CR00106373970416107521,google_asr_text|aws_ocr_video_text,"ISSUE62,ISSUE60|ISSUE62,ISSUE60"
CR00106591398840500225,ad_text|advertiser_name,ISSUE30|ISSUE30
CR00107110368328810497,google_asr_text|aws_ocr_video_text,"ISSUE16,ISSUE54|ISSUE54"
CR00108673392827170817,ad_title|ad_text,ISSUE95|ISSUE90
CR00108745960594604033,advertiser_name,ISSUE16
CR00108763209183264769,advertiser_name,ISSUE16
CR00109563653648285697,advertiser_name,ISSUE16
CR00109955904421494785,google_asr_text|aws_ocr_video_text,"ISSUE40,ISSUE212,ISSUE91,ISSUE90|ISSUE40,ISSUE212,ISSUE91"
CR00109989164648235009,google_asr_text|aws_ocr_video_text,"ISSUE10,ISSUE91|ISSUE10,ISSUE16"
